iter	RMSE
1941	0.06404927294
1942	0.06404469586
1943	0.06403962689
1944	0.06401544681
1945	0.06400704299
1946	0.06400283503
1947	0.06398064733
1948	0.06396482885
1949	0.06392579107
1950	0.06391504506
1951	0.06390543194
1952	0.06388338666
1953	0.0638612217
1954	0.0638506281
1955	0.06384079932
1956	0.06383259448
1957	0.06381193298
1958	0.06379555528
1959	0.06378754894
1960	0.06377093507
1961	0.06376687715
1962	0.06374946186
1963	0.063740748
1964	0.06372722278
1965	0.06371267416
1966	0.06369901422
1967	0.06368800902
1968	0.06367558942
1969	0.06367242576
1970	0.06365798267
1971	0.06364394891
1972	0.06362459602
1973	0.06360881648
1974	0.06359604251
1975	0.06359176112
1976	0.0635767246
1977	0.06356570079
1978	0.06355056103
1979	0.06354666832
1980	0.06352739142
1981	0.06351793682
1982	0.06349053427
1983	0.06347979948
1984	0.06346094504
1985	0.06345492542
1986	0.06345149738
1987	0.06344761955
1988	0.0634207643
1989	0.06340614467
1990	0.06339412275
1991	0.06337598848
1992	0.06335544911
1993	0.06333618884
1994	0.063320867
1995	0.06330735768
1996	0.06329349131
1997	0.0632775343
1998	0.06325494289
1999	0.06325116753
2000	0.06324166204
2001	0.06321885713
2002	0.06321066888
2003	0.06319870109
2004	0.06317647746
2005	0.06317000558
2006	0.06315955811
2007	0.06313186076
2008	0.06310842341
2009	0.06309939055
2010	0.06309513986
2011	0.0630783731
2012	0.06306840748
2013	0.06304731585
2014	0.06303272666
2015	0.06302246125
2016	0.06300288521
2017	0.06299166753
2018	0.06298349016
2019	0.06297194087
2020	0.06295877383
2021	0.06294966275
2022	0.06292902737
2023	0.06292431625
2024	0.06289124473
2025	0.06288519888
2026	0.06287360964
2027	0.06286180329
2028	0.06285549111
2029	0.06285189569
2030	0.06283674224
2031	0.0628251856
2032	0.06280267674
2033	0.06277863981
2034	0.06275049565
2035	0.06274455235
2036	0.06274108199
2037	0.06272901985
2038	0.06272266971
2039	0.06271819282
2040	0.06270613262
2041	0.06270246274
2042	0.06269243951
2043	0.06267913548
2044	0.06265793245
2045	0.06264564189
2046	0.06262850642
2047	0.06261692471
2048	0.06258789334
2049	0.06257199784
